Region,Municipality,# of electorate,07:00,09:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,# of voters
Gyeong-buk,영천시,86808,2264,10351,23761,29798,36298,40096,43824,46599,48916,52205,52205
Gyeong-buk,상주시,87831,2426,11246,28366,35115,41313,45709,49602,52383,54468,56953,56953
Gyeong-buk,문경시,63562,2411,9634,19528,24797,30352,33658,36717,39116,40745,42633,42633
Gyeong-buk,예천군,40334,1306,5560,14014,17591,21183,23222,25086,26332,27292,28388,28388
Gyeong-buk,경산시,193599,4327,18293,38647,48632,60686,68752,76391,82294,88068,96792,96792
Gyeong-buk,청도군,38928,723,3901,11004,14273,17240,18763,20398,21637,22626,23934,23934
Gyeong-buk,고령군,30229,924,3420,7739,9509,11713,13149,13418,15457,16293,17230,17230
Gyeong-buk,성주군,39098,1319,4066,8015,13357,14524,17133,19906,21265,22151,23551,23551
Gyeong-buk,칠곡군,92237,1928,8282,18016,22591,28036,31805,35125,38052,40984,44899,44899
Gyeong-buk,군위군,21865,514,2960,7798,9483,11012,11955,12957,13533,13945,14359,14359
Gyeong-buk,의성군,51630,1491,6034,15768,20497,24449,27133,29326,30929,31983,33207,33207
Gyeong-buk,청송군,23413,723,3238,8326,9981,11498,12505,13482,14131,14582,14996,14996
Gyeong-buk,영양군,15903,513,2013,5233,6793,8067,8786,9359,9827,10192,10577,10577
Gyeong-buk,영덕군,35382,1309,5109,11451,14066,16625,18184,19547,20582,21411,22275,22275
Gyeong-buk,봉화군,29460,1814,4650,10770,13112,15034,16275,17441,18282,18978,19473,19473
Gyeong-buk,울진군,42782,1717,6153,13660,16620,19551,21526,23443,24867,26018,27287,27287
Gyeong-nam,창원시의창구,198369,4604,18053,38107,48822,63785,73198,81897,89667,96518,108651,108651
Gyeong-nam,창원시성산구,185223,2942,12522,32340,41996,57656,67471,76730,85578,93592,107940,107940
Gyeong-nam,창원시마산합포구,152763,3988,13359,29401,38950,49932,57705,64831,71093,75996,84083,84083
Gyeong-nam,창원시마산회원구,176036,5175,17742,34573,44967,58101,67036,75192,82832,90296,100002,100002
Gyeong-nam,창원시진해구,137273,3076,11055,23001,31383,45327,52283,59105,65370,70040,77796,77796
Gyeong-nam,진주시,262035,10113,29109,62219,76286,99131,111356,123765,135524,144651,157977,157977
Gyeong-nam,통영시,110699,3551,8820,22530,29025,36278,40897,45385,48970,52523,57576,57576
Gyeong-nam,고성군,48128,1224,4037,8999,15566,17174,19758,22084,23441,24729,26298,26298
Gyeong-nam,사천시,91458,3264,11300,20958,30316,37364,42245,46623,50293,53297,57375,57375
Gyeong-nam,김해시,376421,8631,26058,73166,94680,120523,138185,155937,171047,185663,208605,208605
Gyeong-nam,밀양시,91031,3457,10823,21887,27577,33718,38256,42157,45180,47478,51530,51530
Gyeong-nam,거제시,173494,6202,18554,32116,45677,56139,64186,71350,77376,83223,93420,93420
Gyeong-nam,의령군,25861,685,2640,7208,9341,11591,13051,14202,15067,15720,16430,16430
Gyeong-nam,함안군,54398,1109,4472,11609,15613,18603,21691,24920,26294,28602,30730,30730
Gyeong-nam,창녕군,53453,1416,4952,11785,15536,19542,22058,24432,26320,27838,29733,29733
Gyeong-nam,양산시,204325,4664,12502,36652,50020,66425,75614,83515,85565,98916,109766,109766
Gyeong-nam,하동군,44240,2138,7723,15627,19144,23961,26113,27707,28994,30288,31605,31605
Gyeong-nam,남해군,42468,1570,6002,13880,17625,21028,22920,24910,26211,27365,28430,28430
Gyeong-nam,함양군,34486,855,4380,10520,13389,16028,17335,18530,19474,20213,21287,21287
Gyeong-nam,산청군,30770,862,4106,8713,11615,13614,15149,16350,17246,18105,18854,18854
Gyeong-nam,거창군,51463,1844,6741,15316,19117,23344,25895,28024,29886,31415,33404,33404
Gyeong-nam,합천군,43774,1130,3970,10975,17011,20280,22795,24602,25410,26759,27813,27813
Jeju,제주시,321716,5340,30540,68212,86454,109673,124194,136458,146419,155628,168440,168440
Jeju,서귀포시,121564,3209,15537,33389,40646,50003,56148,61538,65668,69339,73923,73923
