id,name,party,sex,age,win,region,pr,rows,popcom,unpopcom
158,Yoo Jeongbok,1,0,53,2,0,0,8,1,0
159,Park Daehae,1,0,67,1,1,0,8,0,1
160,Lim Donggyu,1,0,66,1,0,1,8,0,0
161,Choi Gyunghwan,1,0,55,2,1,0,8,1,0
162,Kim Sungjo,1,0,52,3,0,0,8,0,0
163,Lee Hangoo,1,0,65,3,1,0,8,0,0
164,Kwon Youngse,1,0,51,3,0,0,8,1,0
165,Shim Jaecheol,1,0,52,3,0,0,8,0,0
166,Lee Hwasoo,1,0,57,1,0,0,8,0,1
167,Kim Hoyoen,1,0,55,1,0,0,8,0,0
168,Yoon Young,1,0,55,1,1,0,8,1,0
169,Lee Sanggwon,1,0,55,1,0,0,8,0,0
170,Lim Haegyu,1,0,50,2,0,0,8,1,0
171,Jeong Taegeun,1,0,46,1,0,0,8,0,0
172,Kim Sungsik,1,0,52,1,0,0,8,1,0
173,Yoon Seokyong,1,0,59,1,0,0,8,0,1
174,Kim Taehwan,1,0,67,2,1,0,8,0,0
175,Kim Seonghoi,1,0,54,1,0,0,8,0,1
176,Kwon Seongdong,1,0,50,1,0,0,8,0,0
177,Moon Hakjin,2,0,56,2,0,0,8,1,0
178,Choi Gyusik,2,0,57,2,1,0,8,0,0
179,Park Jiwon,2,0,68,2,1,0,8,0,1
180,Kim Hakjae,2,0,65,1,0,1,8,0,0
181,Park Woosoon,2,0,60,1,0,0,8,0,0
182,Lee Yoonsuk,2,0,50,1,1,0,8,0,0
183,Kim Yoojeong,2,1,41,1,0,1,8,0,0
184,Shin Jiho,1,0,47,1,0,0,9,0,1
185,Lee Junghyun,1,0,52,1,0,1,9,0,0
186,Son Bumgyu,1,0,44,1,0,0,9,0,1
187,Cho Haejin,1,0,47,1,1,0,9,0,1
188,Kang Seongcheon,1,0,70,1,0,1,9,0,1
189,Lee Bunkwan,1,0,67,1,0,0,9,1,0
190,Jeong Jinsub,1,0,58,2,0,0,9,1,0
191,Jin Young,1,0,60,2,0,0,9,1,0
192,Lee Gunhyun,1,0,58,2,1,0,9,1,0
193,Koh Heunggil,1,0,66,3,0,0,9,0,0
194,Lee Ingi,1,0,57,3,1,0,9,0,0
195,Seo Byungsoo,1,0,58,3,1,0,9,1,0
196,Kim Gihyun,1,0,51,2,1,0,9,0,0
197,Lee Bunrae,1,0,51,1,0,0,9,0,0
198,Lee Myunggyu,1,0,54,2,1,0,9,0,0
199,Lee Dooah,1,1,39,1,0,1,9,0,1
200,Hwang Yongcheol,1,0,45,1,0,0,9,0,0
201,Lee Jeongsun,1,1,50,1,0,1,9,0,1
202,Han Giho,1,0,58,1,0,0,9,0,0
203,Kim Jeonghoon,1,0,53,2,1,0,9,0,1
204,Kim Jaegyung,1,0,49,2,1,0,9,1,0
205,Park Jin,1,0,54,3,0,0,9,1,0
206,Lee Hakjae,1,0,46,1,0,0,9,0,1
207,Lee Jonghyuk,1,0,54,1,1,0,9,0,0
208,Kim Hyosuk,2,0,61,3,1,0,9,1,0
209,Lee Sukhyun,2,0,59,4,0,0,9,0,0
210,Lee Mikyung,2,1,60,4,0,0,9,1,0
211,Woo Yoongeun,2,0,53,2,1,0,9,0,1
212,Lee Choonsuk,2,0,47,1,1,0,9,0,1
